city,lat,lon,performer,year
"San Francisco, CA",37.7790262,-122.4199061,Bobby Gordon,1938
"Chicago, IL",41.8755616,-87.6244212,Bobby Grant,1939
"Syracuse, NY",43.0481221,-76.1474244,Bobby Hayes,1935
"Asbury Park, NJ",40.2203907,-74.0120817,Bobby Johnson,1935
"New York, NY",40.7127281,-74.0060152,Bobby Johnson,1935
"Philadelphia, PA",39.9527237,-75.1635262,Bobby Jones,1934
"Lansing, MI",42.7337712,-84.5553805,Bobby Jones,1936
"Philadelphia, PA",39.9527237,-75.1635262,Bobby Kork,1935
"Harrisburg, PA",40.2663107,-76.8861122,Bobby La Rue,1934
"Los Angeles, CA",34.0536909,-118.242766,Bobby La Rue,1935
"Massillon, OH",40.7965119,-81.5231597,Bobby La Rue,1936
"Los Angeles, CA",34.0536909,-118.242766,Bobby La Rue,1936
"Phoenix, AZ",33.4484367,-112.0741417,Bobby La Rue,1936
"East Liverpool, OH",40.6186756,-80.5772928,Bobby La Rue,1936
"Columbus, OH",39.9622601,-83.0007065,Bobby La Rue,1936
"Pittsburgh, PA",40.4416941,-79.9900861,Bobby La Rue,1936
"Youngstown, OH",41.1035786,-80.6520161,Bobby La Rue,1936
"Columbus, OH",39.9622601,-83.0007065,Bobby La Rue,1937
"Detroit, MI",42.3315509,-83.0466403,Bobby La Rue,1937
"East Liverpool, OH",40.6186756,-80.5772928,Bobby Lane,1937
"New York, NY",40.7127281,-74.0060152,Bobby Norman,1935
